cmpdname,isosmiles
Quinolinic acid,C1=CC(=C(N=C1)C(=O)O)C(=O)O
Spermidine,C(CCNCCCN)CN
Succinic acid,C(CC(=O)O)C(=O)O
Sulfuric acid,OS(=O)(=O)O
Tryptamine,C1=CC=C2C(=C1)C(=CN2)CCN
8-OH-Dpat,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O
"8-Cyclopentyl-1,3-dipropylxanthine",CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3
3-Aminobenzamide,C1=CC(=CC(=C1)N)C(=O)N
Tramiprosate,C(CN)CS(=O)(=O)O
4-Aminopyridine,C1=CN=CC=C1N
"8-Cyclopentyl-1,3-dimethylxanthine",CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3CCCC3
Tacrine,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
Acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
Acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
Albendazole,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
Salbutamol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
Alprenolol,CC(C)NCC(COC1=CC=CC=C1CC=C)O
Altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
Amantadine,C1C2CC3CC1CC(C2)(C3)N
Aminoglutethimide,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2
Amiodarone,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
Amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
Amoxapine,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
Aniracetam,COC1=CC=C(C=C1)C(=O)N2CCCC2=O
"6-Methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol",CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
Arcaine,C(CCN=C(N)N)CN=C(N)N
Arecoline,CN1CCC=C(C1)C(=O)OC
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O
Atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
Azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
Azelaic acid,C(CCCC(=O)O)CCCC(=O)O
Baclofen,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
Bendroflumethiazide,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
Benserazide,C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O
3-(Diphenylmethoxy)-8-methyl-8-azabicyclo[3.2.1]octane,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
Bepridil,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
Bethanechol,CC(C[N+](C)(C)C)OC(=O)N
Bumetanide,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
Buspirone,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
Verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
Carbastat,C[N+](C)(C)CCOC(=O)N
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
Carbetapentane,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2
DL-Carbidopa,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
Carbinoxamine,CN(C)CCOC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
"1,1-Cyclobutanedicarboxylic acid",C1CC(C1)(C(=O)O)C(=O)O
Carisoprodol,CCCC(C)(COC(=O)N)COC(=O)NC(C)C
Carmustine,C(CCl)NC(=O)N(CCCl)N=O
Celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Chlorambucil,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
Chlordiazepoxide,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O
Chlormezanone,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
Chlorothiazide,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
Chloroxine,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1
Chlorpheniramine,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
Chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
Chlorpropamide,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
Chlorthalidone,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
Chlorzoxazone,C1=CC2=C(C=C1Cl)NC(=O)O2
Cimetidine,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cinoxacin,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3
Clofibrate,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
Clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
Clonidine,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl
Clotrimazole,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
Cromolyn,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O
Cyclobenzaprine,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31
Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl
Cyclothiazide,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl
Cystamine,C(CSSCCN)N
Dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
Dequalinium,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C
Desipramine,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl
Dicyclomine,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2
Diflunisal,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O
Diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2
Dipyridamole,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
Disopyramide,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
Valproic acid,CCCC(CCC)C(=O)O
Doxylamine,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C
Droperidol,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F
Ebselen,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2
Econazole,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl
Edrophonium,CC[N+](C)(C)C1=CC(=CC=C1)O
Epinastine,C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N
Ethacrynic acid,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl
Profenamine,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31
Ethosuximide,CCC1(CC(=O)NC1=O)C
Etodolac,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
Fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
Fenoterol,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
Fenspiride,C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3
Fluconazole,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
Fluphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F
Flurbiprofen,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
Flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
(3-Methyloxiran-2-yl)phosphonic acid,CC1C(O1)P(=O)(O)O
Furegrelate,C1=CC(=CN=C1)CC2=CC3=C(C=C2)OC(=C3)C(=O)O
Furosemide,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
Gaboxadol,C1CNCC2=C1C(=O)NO2
Flaxedil,CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC
1-[2-(Diphenylmethoxy)ethyl]-4-(3-phenylpropyl)piperazine,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=CC=C3)C4=CC=CC=C4
Gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
Glyburide,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
Gossypol,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O
Haloperidol,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
Hexachlorophene,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl
Hexamethonium,C[N+](C)(C)CCCCCC[N+](C)(C)C
Hydralazine,C1=CC=C2C(=C1)C=NN=C2NN
Hydroflumethiazide,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1
Velnacrine,C1CC(C2=C(C3=CC=CC=C3N=C2C1)N)O
Hydroxyurea,C(=O)(N)NO
Hydroxyzine,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
L-Hyoscyamine,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
Phenelzine,C1=CC=C(C=C1)CCNN
Lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
Imipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
Iproniazid,CC(C)NNC(=O)C1=CC=NC=C1
3-Isobutyl-1-methylxanthine,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC=N2
Isoguvacine,C1CNCC=C1C(=O)O
Isoniazid,C1=CN=CC=C1C(=O)NN
Isoproterenol,CC(C)NCC(C1=CC(=C(C=C1)O)O)O
Ketoprofen,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
Ketorolac,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O
Ketotifen,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1
Kynurenic acid,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
Labetalol,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O
Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
Leflunomide,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
Lomefloxacin,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O
Loperamide,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4
Loratadine,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
Lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
Mafenide,C1=CC(=CC=C1CN)S(=O)(=O)N
Maprotiline,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
Mebendazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3
Meclizine,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
Meclofenamic acid,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl
Meclofenamate sodium,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)[O-])Cl.[Na+]
Meclofenoxate,CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl
Mefenamic acid,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C
Memantine,CC12CC3CC(C1)(CC(C3)(C2)N)C
Mepenzolate,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C
Metaproterenol,CC(C)NCC(C1=CC(=CC(=C1)O)O)O
Methapyrilene,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2
Methazolamide,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C
Methiothepin,CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC
Methocarbamol,COC1=CC=CC=C1OCC(COC(=O)N)O
Methoxsalen,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl
Metolazone,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl
Metoprolol,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
Metronidazole,CC1=NC=C(N1CCO)[N+](=O)[O-]
Mexiletine,CC1=C(C(=CC=C1)C)OCC(C)N
Mianserin,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42
Miconazole,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
Midodrine,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O
Minoxidil,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
Mitotane,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
Mitoxantrone,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
"1H-1,4-Diazepine, hexahydro-1-((5-iodo-1-naphthalenyl)sulfonyl)-",C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3I
N-[3-(4-Morpholinyl)-5-oxadiazol-3-iumyl]carbamic acid ethyl ester,CCOC(=O)NC1=C[N+](=NO1)N2CCOCC2
1-[3-(Trifluoromethyl)phenyl]piperazine,C1CN(CCN1)C2=CC=CC(=C2)C(F)(F)F
Nabumetone,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC
Nalidixic acid,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O
Naphazoline,C1CN=C(N1)CC2=CC=CC3=CC=CC=C32
Neostigmine,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C
Nicardipine,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC
Niclosamide,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
Nifedipine,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
Niflumic acid,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2
Nipecotic acid,C1CC(CNC1)C(=O)O
Nomifensine,CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3
Nortriptyline,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
5-Nitro-2-(3-phenylpropylamino)benzoic acid,C1=CC=C(C=C1)CCCNC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)O
Nylidrin,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
Octopamine,C1=CC(=CC=C1C(CN)O)O
Ofloxacin,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
Orphenadrine,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
Oxolinic acid,CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O
Oxotremorine M,C[N+](C)(C)CC#CCN1CCCC1=O
Oxotremorine,C1CCN(C1)CC#CCN2CCCC2=O
Oxymetazoline,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C
Fenclonine,C1=CC(=CC=C1CC(C(=O)O)N)Cl
Papaverine,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC
Paraxanthine,CN1C=NC2=C1C(=O)N(C(=O)N2)C
Pargyline,CN(CC#C)CC1=CC=CC=C1
DL-Penicillamine,CC(C)(C(C(=O)O)N)S
Pentamidine,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N
Pentoxifylline,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C
Perphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
Pheniramine,CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2
Phenoxybenzamine,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2
1-Phenylbiguanide,C1=CC=C(C=C1)N=C(N)N=C(N)N
Phenylbutazone,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3
Pindolol,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O
Piperazine,C1CNCCN1
Piracetam,C1CC(=O)N(C1)CC(=O)N
Pirenzepine,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4
Praziquantel,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2
Prazosin,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC
Prilocaine,CCCNC(C)C(=O)NC1=CC=CC=C1C
Primaquine,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2
Primidone,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2
Proadifen,CCCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OCCN(CC)CC
Probenecid,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O
Procainamide,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N
Procaine,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N
Prochlorperazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
Procyclidine,C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O
Proglumide,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)C1=CC=CC=C1
Promazine,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31
Promethazine,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C
Propafenone,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O
Propantheline,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C
Propranolol,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
Protoporphyrin IX,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C
Pyridostigmine,C[N+]1=CC=CC(=C1)OC(=O)N(C)C
Pyrilamine,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2
Pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
Ritanserin,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3
Sanguinarine,C[N+]1=C2C(=C3C=CC4=C(C3=C1)OCO4)C=CC5=CC6=C(C=C52)OCO6
Spiperone,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F
[3-Carboxylato-2-(stearoyloxy)propyl]trimethylaminium,CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C
Sulfacetamide,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N
Sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
Sulfaphenazole,C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N
Sulfasalazine,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O
Sulfinpyrazone,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4
Sulfisoxazole,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N
Sulpiride,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC
Terbutaline,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O
Terfenadine,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O
Tetracaine,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C
Tetrahydrozoline,C1CC(C2=CC=CC=C2C1)C3=NCCN3
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C
Thiabendazole,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
Thioridazine,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC
Tiapride,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC
Tolazamide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2
Tolazoline,C1CN=C(N1)CC2=CC=CC=C2
Tolbutamide,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
Trazodone,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl
Triamterene,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N
Trifluoperazine,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
Triflupromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F
Trihexyphenidyl,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O
Trimethoprim,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
Trimipramine,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C
Tripelennamine,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2
Tropicamide,CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2
Tulobuterol,CC(C)(C)NCC(C1=CC=CC=C1Cl)O
Tyramine,C1=CC(=CC=C1CCN)O
Vesamicol,C1CCC(C(C1)N2CCC(CC2)C3=CC=CC=C3)O
Xylazine,CC1=C(C(=CC=C1)C)NC2=NCCCS2
Xylometazoline,CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C
Reserpine,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
Phentolamine,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O
Procaine hydrochloride,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.Cl
Isoproterenol hydrochloride,CC(C)NCC(C1=CC(=C(C=C1)O)O)O.Cl
Histamine dihydrochloride,C1=C(NC=N1)CCN.Cl.Cl
Carbachol,C[N+](C)(C)CCOC(=O)N.[Cl-]
Pentolinium,C[N+]1(CCCC1)CCCCC[N+]2(CCCC2)C
Promazine hydrochloride,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl
Pilocarpine,CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C
Hexamethonium bromide,C[N+](C)(C)CCCCCC[N+](C)(C)C.[Br-].[Br-]
Physostigmine,C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C
Promethazine hydrochloride,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl
Cephalothin,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O
Phenylephrine,CNC[C@@H](C1=CC(=CC=C1)O)O
Levodopa,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O
Tolazoline hydrochloride,C1CN=C(N1)CC2=CC=CC=C2.Cl
Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-]
Papaverine hydrochloride,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC.Cl
P-Toluenesulfonic acid,CC1=CC=C(C=C1)S(=O)(=O)O
Gallamine triethiodide,CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC.[I-].[I-].[I-]
Cycloserine,C1[C@H](C(=O)NO1)N
Tryptophan,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
Lidocaine hydrochloride,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl
Mepenzolate bromide,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.[Br-]
"2-Amino-2-hydroxymethyl-propane-1,3-diol",C(C(CO)(CO)N)O
Rotenone,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC
Benzenesulfonic acid,C1=CC=C(C=C1)S(=O)(=O)O
Pyridostigmine bromide,C[N+]1=CC=CC(=C1)OC(=O)N(C)C.[Br-]
Methylergonovine,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
Imipramine hydrochloride,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl
Neostigmine bromide,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C.[Br-]
Edrophonium chloride,CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-]
Pamoic acid,C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O
Methapyrilene hydrochloride,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2.Cl
